CustomerID,Churn_Probability,Churn_Risk_Level
1,0.7874718420249621,High Risk
2,0.5949419034464112,Moderate Risk
3,0.876176188920415,High Risk
4,0.694691559272573,Moderate Risk
5,0.362562016986066,Low Risk
6,0.6488819439960056,Moderate Risk
7,0.8269208655530813,High Risk
8,0.6993380427371891,Moderate Risk
9,0.4460106445755515,Moderate Risk
10,0.7542438694751766,High Risk
11,0.609981768344175,Moderate Risk
12,0.45836983075831056,Moderate Risk
13,0.853715900250586,High Risk
14,0.5842731750065452,Moderate Risk
15,0.6004561784855007,Moderate Risk
16,0.5010670537385493,Moderate Risk
17,0.45306286115514866,Moderate Risk
18,0.7847380785326403,High Risk
19,0.5301943090271768,Moderate Risk
20,0.6890819981849695,Moderate Risk
21,0.736930252957306,Moderate Risk
22,0.46563349142738325,Moderate Risk
23,0.5254023971955922,Moderate Risk
24,0.4134366379411425,Moderate Risk
25,0.49752673256616603,Moderate Risk
26,0.7936523819001172,High Risk
27,0.3016565233454848,Low Risk
28,0.3841082717744546,Low Risk
29,0.6828794884989883,Moderate Risk
30,0.7540330362992494,High Risk
31,0.24966097218174793,Low Risk
32,0.39115008214412395,Low Risk
33,0.30955302770489135,Low Risk
34,0.45309939421755985,Moderate Risk
35,0.8109181391875337,High Risk
36,0.5357369621360532,Moderate Risk
37,0.48709688869697854,Moderate Risk
38,0.7188813494070752,Moderate Risk
39,0.6281222862630611,Moderate Risk
40,0.5759034889201144,Moderate Risk
41,0.7126205545522093,Moderate Risk
42,0.2549058357424155,Low Risk
43,0.30345145845867216,Low Risk
44,0.47728239168816444,Moderate Risk
45,0.7613470387032361,High Risk
46,0.6030748588017569,Moderate Risk
47,0.7963787685840331,High Risk
48,0.7878718447315575,High Risk
49,0.6726404619055224,Moderate Risk
50,0.6193755381722039,Moderate Risk
51,0.39983805729628363,Low Risk
52,0.7241508130820292,Moderate Risk
53,0.7405355437983623,Moderate Risk
54,0.7800394057816317,High Risk
55,0.6575951373052747,Moderate Risk
56,0.7046849837682191,Moderate Risk
57,0.48929592731983357,Moderate Risk
58,0.7337949666696637,Moderate Risk
59,0.6625319331776843,Moderate Risk
60,0.42150911952768333,Moderate Risk
61,0.7053697929413901,Moderate Risk
62,0.45366289613809896,Moderate Risk
63,0.8715937310139468,High Risk
64,0.7381936223555158,Moderate Risk
65,0.6653290103210402,Moderate Risk
66,0.7534108397706777,High Risk
67,0.2870528572603793,Low Risk
68,0.7660583780971446,High Risk
69,0.8780763733381037,High Risk
70,0.7813011739554075,High Risk
71,0.6421680096409964,Moderate Risk
72,0.3617809061979625,Low Risk
73,0.7514026355096172,High Risk
74,0.7553450963953439,High Risk
75,0.477201472928751,Moderate Risk
76,0.794728849975847,High Risk
77,0.7545364298311216,High Risk
78,0.8119438899864814,High Risk
79,0.8410710617156814,High Risk
80,0.49541503079949684,Moderate Risk
81,0.4545449758446205,Moderate Risk
82,0.7458198508983714,Moderate Risk
83,0.3771909043670514,Low Risk
84,0.8584941848882958,High Risk
85,0.7464826569951326,Moderate Risk
86,0.5855389129970244,Moderate Risk
87,0.47583493379316527,Moderate Risk
88,0.6093775261304949,Moderate Risk
89,0.36633474296242136,Low Risk
90,0.6329554992018778,Moderate Risk
91,0.6735762872553708,Moderate Risk
92,0.5504951524921918,Moderate Risk
93,0.4670775695759177,Moderate Risk
